tree1	tree2	RF
astral_chr4block15.tree	astral_chrm7block3.tree	36
astral_chr4block2.tree	astral_chrm7block3.tree	48
astral_chr4block3.tree	astral_chrm7block3.tree	62
astral_chr4block4.tree	astral_chrm7block3.tree	50
astral_chr4block5.tree	astral_chrm7block3.tree	36
astral_chr4block6.tree	astral_chrm7block3.tree	26
astral_chr4block7.tree	astral_chrm7block3.tree	58
astral_chr5block1.tree	astral_chrm7block3.tree	22
astral_chr6block1.tree	astral_chrm7block3.tree	12
astral_chr7block1.tree	astral_chrm7block3.tree	44
astral_chr7block2.tree	astral_chrm7block3.tree	22
astral_chrm10block1.tree	astral_chrm7block3.tree	28
astral_chrm10block2.tree	astral_chrm7block3.tree	68
astral_chrm10block3.tree	astral_chrm7block3.tree	42
astral_chrm10block4.tree	astral_chrm7block3.tree	44
astral_chrm10block5.tree	astral_chrm7block3.tree	52
astral_chrm10block6.tree	astral_chrm7block3.tree	38
astral_chrm11block2.tree	astral_chrm7block3.tree	36
astral_chrm11block3.tree	astral_chrm7block3.tree	30
astral_chrm11block4.tree	astral_chrm7block3.tree	42
astral_chrm1block1.tree	astral_chrm7block3.tree	30
astral_chrm2block1.tree	astral_chrm7block3.tree	34
astral_chrm3block1.tree	astral_chrm7block3.tree	22
astral_chrm4block1.tree	astral_chrm7block3.tree	22
astral_chrm5block2.tree	astral_chrm7block3.tree	24
astral_chrm5block4.tree	astral_chrm7block3.tree	34
astral_chrm5block5.tree	astral_chrm7block3.tree	20
astral_chrm6block1.tree	astral_chrm7block3.tree	20
astral_chrm7block2.tree	astral_chrm7block3.tree	24
astral_chr1block1.tree	astral_chrm8block1.tree	24
astral_chr1block3.tree	astral_chrm8block1.tree	26
astral_chr1block4.tree	astral_chrm8block1.tree	40
astral_chr1block5.tree	astral_chrm8block1.tree	24
astral_chr2block2.tree	astral_chrm8block1.tree	48
astral_chr2block3.tree	astral_chrm8block1.tree	24
astral_chr2block4.tree	astral_chrm8block1.tree	28
astral_chr2block5.tree	astral_chrm8block1.tree	34
astral_chr2block6.tree	astral_chrm8block1.tree	26
astral_chr3block1.tree	astral_chrm8block1.tree	38
astral_chr3block2.tree	astral_chrm8block1.tree	38
astral_chr3block3.tree	astral_chrm8block1.tree	22
astral_chr3block4.tree	astral_chrm8block1.tree	22
astral_chr4block1.tree	astral_chrm8block1.tree	34
astral_chr4block10.tree	astral_chrm8block1.tree	30
astral_chr4block11.tree	astral_chrm8block1.tree	44
astral_chr4block12.tree	astral_chrm8block1.tree	46
astral_chr4block13.tree	astral_chrm8block1.tree	42
astral_chr4block14.tree	astral_chrm8block1.tree	24
astral_chr4block15.tree	astral_chrm8block1.tree	44
astral_chr4block2.tree	astral_chrm8block1.tree	50
astral_chr4block3.tree	astral_chrm8block1.tree	64
astral_chr4block4.tree	astral_chrm8block1.tree	46
astral_chr4block5.tree	astral_chrm8block1.tree	36
astral_chr4block6.tree	astral_chrm8block1.tree	30
astral_chr4block7.tree	astral_chrm8block1.tree	56
astral_chr5block1.tree	astral_chrm8block1.tree	24
astral_chr6block1.tree	astral_chrm8block1.tree	26
astral_chr7block1.tree	astral_chrm8block1.tree	42
astral_chr7block2.tree	astral_chrm8block1.tree	26
astral_chrm10block1.tree	astral_chrm8block1.tree	30
astral_chrm10block2.tree	astral_chrm8block1.tree	66
astral_chrm10block3.tree	astral_chrm8block1.tree	46
astral_chrm10block4.tree	astral_chrm8block1.tree	40
astral_chrm10block5.tree	astral_chrm8block1.tree	46
astral_chrm10block6.tree	astral_chrm8block1.tree	32
astral_chrm11block2.tree	astral_chrm8block1.tree	28
astral_chrm11block3.tree	astral_chrm8block1.tree	36
astral_chrm11block4.tree	astral_chrm8block1.tree	42
astral_chrm1block1.tree	astral_chrm8block1.tree	24
astral_chrm2block1.tree	astral_chrm8block1.tree	30
astral_chrm3block1.tree	astral_chrm8block1.tree	24
astral_chrm4block1.tree	astral_chrm8block1.tree	20
astral_chrm5block2.tree	astral_chrm8block1.tree	24
astral_chrm5block4.tree	astral_chrm8block1.tree	38
astral_chrm5block5.tree	astral_chrm8block1.tree	20
astral_chrm6block1.tree	astral_chrm8block1.tree	26
astral_chrm7block2.tree	astral_chrm8block1.tree	20
astral_chrm7block3.tree	astral_chrm8block1.tree	24
astral_chr1block1.tree	astral_chrm9block5.tree	12
astral_chr1block3.tree	astral_chrm9block5.tree	22
astral_chr1block4.tree	astral_chrm9block5.tree	44
astral_chr1block5.tree	astral_chrm9block5.tree	20
astral_chr2block2.tree	astral_chrm9block5.tree	50
astral_chr2block3.tree	astral_chrm9block5.tree	20
astral_chr2block4.tree	astral_chrm9block5.tree	30
astral_chr2block5.tree	astral_chrm9block5.tree	30
astral_chr2block6.tree	astral_chrm9block5.tree	22
astral_chr3block1.tree	astral_chrm9block5.tree	32
astral_chr3block2.tree	astral_chrm9block5.tree	32
astral_chr3block3.tree	astral_chrm9block5.tree	20
astral_chr3block4.tree	astral_chrm9block5.tree	20
astral_chr4block1.tree	astral_chrm9block5.tree	30
astral_chr4block10.tree	astral_chrm9block5.tree	32
astral_chr4block11.tree	astral_chrm9block5.tree	40
astral_chr4block12.tree	astral_chrm9block5.tree	48
astral_chr4block13.tree	astral_chrm9block5.tree	40
astral_chr4block14.tree	astral_chrm9block5.tree	34
astral_chr4block15.tree	astral_chrm9block5.tree	40
astral_chr4block2.tree	astral_chrm9block5.tree	54
astral_chr4block3.tree	astral_chrm9block5.tree	66
astral_chr4block4.tree	astral_chrm9block5.tree	52
astral_chr4block5.tree	astral_chrm9block5.tree	34
astral_chr4block6.tree	astral_chrm9block5.tree	24
astral_chr4block7.tree	astral_chrm9block5.tree	56
astral_chr5block1.tree	astral_chrm9block5.tree	24
astral_chr6block1.tree	astral_chrm9block5.tree	12
astral_chr7block1.tree	astral_chrm9block5.tree	46
astral_chr7block2.tree	astral_chrm9block5.tree	28
astral_chrm10block1.tree	astral_chrm9block5.tree	32
astral_chrm10block2.tree	astral_chrm9block5.tree	68
astral_chrm10block3.tree	astral_chrm9block5.tree	40
astral_chrm10block4.tree	astral_chrm9block5.tree	46
astral_chrm10block5.tree	astral_chrm9block5.tree	44
astral_chrm10block6.tree	astral_chrm9block5.tree	32
astral_chrm11block2.tree	astral_chrm9block5.tree	36
astral_chrm11block3.tree	astral_chrm9block5.tree	34
astral_chrm11block4.tree	astral_chrm9block5.tree	36
astral_chrm1block1.tree	astral_chrm9block5.tree	26
astral_chrm2block1.tree	astral_chrm9block5.tree	26
astral_chrm3block1.tree	astral_chrm9block5.tree	20
astral_chrm4block1.tree	astral_chrm9block5.tree	20
astral_chrm5block2.tree	astral_chrm9block5.tree	24
astral_chrm5block4.tree	astral_chrm9block5.tree	42
astral_chrm5block5.tree	astral_chrm9block5.tree	22
astral_chrm6block1.tree	astral_chrm9block5.tree	24
astral_chrm7block2.tree	astral_chrm9block5.tree	18
astral_chrm7block3.tree	astral_chrm9block5.tree	22
astral_chrm8block1.tree	astral_chrm9block5.tree	22
astral_chr1block1.tree	astral_chrm9block6.tree	54
astral_chr1block3.tree	astral_chrm9block6.tree	46
astral_chr1block4.tree	astral_chrm9block6.tree	56
astral_chr1block5.tree	astral_chrm9block6.tree	48
astral_chr2block2.tree	astral_chrm9block6.tree	62
astral_chr2block3.tree	astral_chrm9block6.tree	54
astral_chr2block4.tree	astral_chrm9block6.tree	46
astral_chr2block5.tree	astral_chrm9block6.tree	54
astral_chr2block6.tree	astral_chrm9block6.tree	50
astral_chr3block1.tree	astral_chrm9block6.tree	56
astral_chr3block2.tree	astral_chrm9block6.tree	56
astral_chr3block3.tree	astral_chrm9block6.tree	44
astral_chr3block4.tree	astral_chrm9block6.tree	52
astral_chr4block1.tree	astral_chrm9block6.tree	58
astral_chr4block10.tree	astral_chrm9block6.tree	40
astral_chr4block11.tree	astral_chrm9block6.tree	58
astral_chr4block12.tree	astral_chrm9block6.tree	56
astral_chr4block13.tree	astral_chrm9block6.tree	58
astral_chr4block14.tree	astral_chrm9block6.tree	44
astral_chr4block15.tree	astral_chrm9block6.tree	56
astral_chr4block2.tree	astral_chrm9block6.tree	68
astral_chr4block3.tree	astral_chrm9block6.tree	68
astral_chr4block4.tree	astral_chrm9block6.tree	54
astral_chr4block5.tree	astral_chrm9block6.tree	56
astral_chr4block6.tree	astral_chrm9block6.tree	52
astral_chr4block7.tree	astral_chrm9block6.tree	70
astral_chr5block1.tree	astral_chrm9block6.tree	48
astral_chr6block1.tree	astral_chrm9block6.tree	52
astral_chr7block1.tree	astral_chrm9block6.tree	58
astral_chr7block2.tree	astral_chrm9block6.tree	44
astral_chrm10block1.tree	astral_chrm9block6.tree	48
astral_chrm10block2.tree	astral_chrm9block6.tree	66
astral_chrm10block3.tree	astral_chrm9block6.tree	54
astral_chrm10block4.tree	astral_chrm9block6.tree	52
astral_chrm10block5.tree	astral_chrm9block6.tree	56
astral_chrm10block6.tree	astral_chrm9block6.tree	48
astral_chrm11block2.tree	astral_chrm9block6.tree	42
astral_chrm11block3.tree	astral_chrm9block6.tree	54
astral_chrm11block4.tree	astral_chrm9block6.tree	56
astral_chrm1block1.tree	astral_chrm9block6.tree	46
astral_chrm2block1.tree	astral_chrm9block6.tree	54
astral_chrm3block1.tree	astral_chrm9block6.tree	50
astral_chrm4block1.tree	astral_chrm9block6.tree	46
astral_chrm5block2.tree	astral_chrm9block6.tree	50
astral_chrm5block4.tree	astral_chrm9block6.tree	54
astral_chrm5block5.tree	astral_chrm9block6.tree	48
astral_chrm6block1.tree	astral_chrm9block6.tree	52
astral_chrm7block2.tree	astral_chrm9block6.tree	46
astral_chrm7block3.tree	astral_chrm9block6.tree	50
astral_chrm8block1.tree	astral_chrm9block6.tree	40
astral_chrm9block5.tree	astral_chrm9block6.tree	54
astral_chr1block1.tree	astral_chrm9block7.tree	36
astral_chr1block3.tree	astral_chrm9block7.tree	32
astral_chr1block4.tree	astral_chrm9block7.tree	44
astral_chr1block5.tree	astral_chrm9block7.tree	30
astral_chr2block2.tree	astral_chrm9block7.tree	50
astral_chr2block3.tree	astral_chrm9block7.tree	30
astral_chr2block4.tree	astral_chrm9block7.tree	40
astral_chr2block5.tree	astral_chrm9block7.tree	32
astral_chr2block6.tree	astral_chrm9block7.tree	32
astral_chr3block1.tree	astral_chrm9block7.tree	30
astral_chr3block2.tree	astral_chrm9block7.tree	28
astral_chr3block3.tree	astral_chrm9block7.tree	36
astral_chr3block4.tree	astral_chrm9block7.tree	30
astral_chr4block1.tree	astral_chrm9block7.tree	32
astral_chr4block10.tree	astral_chrm9block7.tree	36
astral_chr4block11.tree	astral_chrm9block7.tree	36
astral_chr4block12.tree	astral_chrm9block7.tree	54
astral_chr4block13.tree	astral_chrm9block7.tree	44
astral_chr4block14.tree	astral_chrm9block7.tree	34
astral_chr4block15.tree	astral_chrm9block7.tree	44
astral_chr4block2.tree	astral_chrm9block7.tree	56
astral_chr4block3.tree	astral_chrm9block7.tree	62
astral_chr4block4.tree	astral_chrm9block7.tree	50
astral_chr4block5.tree	astral_chrm9block7.tree	36
astral_chr4block6.tree	astral_chrm9block7.tree	30
astral_chr4block7.tree	astral_chrm9block7.tree	58
astral_chr5block1.tree	astral_chrm9block7.tree	32
astral_chr6block1.tree	astral_chrm9block7.tree	34
astral_chr7block1.tree	astral_chrm9block7.tree	42
astral_chr7block2.tree	astral_chrm9block7.tree	30
astral_chrm10block1.tree	astral_chrm9block7.tree	36
astral_chrm10block2.tree	astral_chrm9block7.tree	60
astral_chrm10block3.tree	astral_chrm9block7.tree	34
astral_chrm10block4.tree	astral_chrm9block7.tree	50
astral_chrm10block5.tree	astral_chrm9block7.tree	54
astral_chrm10block6.tree	astral_chrm9block7.tree	32
astral_chrm11block2.tree	astral_chrm9block7.tree	32
astral_chrm11block3.tree	astral_chrm9block7.tree	36
astral_chrm11block4.tree	astral_chrm9block7.tree	44
astral_chrm1block1.tree	astral_chrm9block7.tree	30
astral_chrm2block1.tree	astral_chrm9block7.tree	36
astral_chrm3block1.tree	astral_chrm9block7.tree	30
astral_chrm4block1.tree	astral_chrm9block7.tree	30
astral_chrm5block2.tree	astral_chrm9block7.tree	30
astral_chrm5block4.tree	astral_chrm9block7.tree	40
astral_chrm5block5.tree	astral_chrm9block7.tree	32
astral_chrm6block1.tree	astral_chrm9block7.tree	28
astral_chrm7block2.tree	astral_chrm9block7.tree	36
astral_chrm7block3.tree	astral_chrm9block7.tree	36
astral_chrm8block1.tree	astral_chrm9block7.tree	36
astral_chrm9block5.tree	astral_chrm9block7.tree	32
astral_chrm9block6.tree	astral_chrm9block7.tree	54
astral_chr1block1.tree	astral_chrZblock1.tree	26
astral_chr1block3.tree	astral_chrZblock1.tree	26
astral_chr1block4.tree	astral_chrZblock1.tree	46
astral_chr1block5.tree	astral_chrZblock1.tree	20
astral_chr2block2.tree	astral_chrZblock1.tree	50
astral_chr2block3.tree	astral_chrZblock1.tree	20
astral_chr2block4.tree	astral_chrZblock1.tree	30
astral_chr2block5.tree	astral_chrZblock1.tree	22
astral_chr2block6.tree	astral_chrZblock1.tree	30
astral_chr3block1.tree	astral_chrZblock1.tree	22
astral_chr3block2.tree	astral_chrZblock1.tree	24
astral_chr3block3.tree	astral_chrZblock1.tree	24
astral_chr3block4.tree	astral_chrZblock1.tree	24
astral_chr4block1.tree	astral_chrZblock1.tree	22
astral_chr4block10.tree	astral_chrZblock1.tree	28
astral_chr4block11.tree	astral_chrZblock1.tree	34
astral_chr4block12.tree	astral_chrZblock1.tree	42
astral_chr4block13.tree	astral_chrZblock1.tree	46
astral_chr4block14.tree	astral_chrZblock1.tree	38
astral_chr4block15.tree	astral_chrZblock1.tree	42
astral_chr4block2.tree	astral_chrZblock1.tree	52
astral_chr4block3.tree	astral_chrZblock1.tree	60
astral_chr4block4.tree	astral_chrZblock1.tree	44
astral_chr4block5.tree	astral_chrZblock1.tree	30
astral_chr4block6.tree	astral_chrZblock1.tree	28
astral_chr4block7.tree	astral_chrZblock1.tree	60
astral_chr5block1.tree	astral_chrZblock1.tree	22
astral_chr6block1.tree	astral_chrZblock1.tree	26
astral_chr7block1.tree	astral_chrZblock1.tree	46
astral_chr7block2.tree	astral_chrZblock1.tree	26
astral_chrm10block1.tree	astral_chrZblock1.tree	26
astral_chrm10block2.tree	astral_chrZblock1.tree	68
astral_chrm10block3.tree	astral_chrZblock1.tree	38
astral_chrm10block4.tree	astral_chrZblock1.tree	50
astral_chrm10block5.tree	astral_chrZblock1.tree	48
astral_chrm10block6.tree	astral_chrZblock1.tree	38
astral_chrm11block2.tree	astral_chrZblock1.tree	34
astral_chrm11block3.tree	astral_chrZblock1.tree	38
astral_chrm11block4.tree	astral_chrZblock1.tree	48
astral_chrm1block1.tree	astral_chrZblock1.tree	24
astral_chrm2block1.tree	astral_chrZblock1.tree	32
astral_chrm3block1.tree	astral_chrZblock1.tree	28
astral_chrm4block1.tree	astral_chrZblock1.tree	26
astral_chrm5block2.tree	astral_chrZblock1.tree	30
astral_chrm5block4.tree	astral_chrZblock1.tree	38
astral_chrm5block5.tree	astral_chrZblock1.tree	34
astral_chrm6block1.tree	astral_chrZblock1.tree	24
astral_chrm7block2.tree	astral_chrZblock1.tree	24
astral_chrm7block3.tree	astral_chrZblock1.tree	28
astral_chrm8block1.tree	astral_chrZblock1.tree	32
astral_chrm9block5.tree	astral_chrZblock1.tree	30
astral_chrm9block6.tree	astral_chrZblock1.tree	52
astral_chrm9block7.tree	astral_chrZblock1.tree	34
astral_chr1block1.tree	astral_chrZblock2.tree	20
astral_chr1block3.tree	astral_chrZblock2.tree	16
astral_chr1block4.tree	astral_chrZblock2.tree	38
astral_chr1block5.tree	astral_chrZblock2.tree	18
astral_chr2block2.tree	astral_chrZblock2.tree	50
astral_chr2block3.tree	astral_chrZblock2.tree	20
astral_chr2block4.tree	astral_chrZblock2.tree	34
astral_chr2block5.tree	astral_chrZblock2.tree	26
astral_chr2block6.tree	astral_chrZblock2.tree	20
astral_chr3block1.tree	astral_chrZblock2.tree	26
astral_chr3block2.tree	astral_chrZblock2.tree	26
astral_chr3block3.tree	astral_chrZblock2.tree	20
astral_chr3block4.tree	astral_chrZblock2.tree	22
astral_chr4block1.tree	astral_chrZblock2.tree	22
astral_chr4block10.tree	astral_chrZblock2.tree	30
astral_chr4block11.tree	astral_chrZblock2.tree	34
astral_chr4block12.tree	astral_chrZblock2.tree	44
astral_chr4block13.tree	astral_chrZblock2.tree	42
astral_chr4block14.tree	astral_chrZblock2.tree	28
astral_chr4block15.tree	astral_chrZblock2.tree	36
astral_chr4block2.tree	astral_chrZblock2.tree	48
astral_chr4block3.tree	astral_chrZblock2.tree	56
astral_chr4block4.tree	astral_chrZblock2.tree	44
astral_chr4block5.tree	astral_chrZblock2.tree	30
astral_chr4block6.tree	astral_chrZblock2.tree	18
astral_chr4block7.tree	astral_chrZblock2.tree	52
astral_chr5block1.tree	astral_chrZblock2.tree	16
astral_chr6block1.tree	astral_chrZblock2.tree	20
astral_chr7block1.tree	astral_chrZblock2.tree	42
astral_chr7block2.tree	astral_chrZblock2.tree	22
astral_chrm10block1.tree	astral_chrZblock2.tree	30
astral_chrm10block2.tree	astral_chrZblock2.tree	66
astral_chrm10block3.tree	astral_chrZblock2.tree	34
astral_chrm10block4.tree	astral_chrZblock2.tree	44
astral_chrm10block5.tree	astral_chrZblock2.tree	50
astral_chrm10block6.tree	astral_chrZblock2.tree	34
astral_chrm11block2.tree	astral_chrZblock2.tree	30
astral_chrm11block3.tree	astral_chrZblock2.tree	28
astral_chrm11block4.tree	astral_chrZblock2.tree	42
astral_chrm1block1.tree	astral_chrZblock2.tree	24
astral_chrm2block1.tree	astral_chrZblock2.tree	32
astral_chrm3block1.tree	astral_chrZblock2.tree	16
astral_chrm4block1.tree	astral_chrZblock2.tree	24
astral_chrm5block2.tree	astral_chrZblock2.tree	24
astral_chrm5block4.tree	astral_chrZblock2.tree	34
astral_chrm5block5.tree	astral_chrZblock2.tree	22
astral_chrm6block1.tree	astral_chrZblock2.tree	18
astral_chrm7block2.tree	astral_chrZblock2.tree	18
astral_chrm7block3.tree	astral_chrZblock2.tree	22
astral_chrm8block1.tree	astral_chrZblock2.tree	28
astral_chrm9block5.tree	astral_chrZblock2.tree	20
astral_chrm9block6.tree	astral_chrZblock2.tree	52
astral_chrm9block7.tree	astral_chrZblock2.tree	28
astral_chrZblock1.tree	astral_chrZblock2.tree	26
astral_chr1block1.tree	astral_chrZblock3.tree	42
astral_chr1block3.tree	astral_chrZblock3.tree	44
astral_chr1block4.tree	astral_chrZblock3.tree	56
astral_chr1block5.tree	astral_chrZblock3.tree	40
astral_chr2block2.tree	astral_chrZblock3.tree	50
astral_chr2block3.tree	astral_chrZblock3.tree	40
astral_chr2block4.tree	astral_chrZblock3.tree	44
astral_chr2block5.tree	astral_chrZblock3.tree	50
astral_chr2block6.tree	astral_chrZblock3.tree	48
astral_chr3block1.tree	astral_chrZblock3.tree	40
astral_chr3block2.tree	astral_chrZblock3.tree	42
astral_chr3block3.tree	astral_chrZblock3.tree	40
astral_chr3block4.tree	astral_chrZblock3.tree	42
astral_chr4block1.tree	astral_chrZblock3.tree	42
astral_chr4block10.tree	astral_chrZblock3.tree	38
astral_chr4block11.tree	astral_chrZblock3.tree	50
astral_chr4block12.tree	astral_chrZblock3.tree	52
astral_chr4block13.tree	astral_chrZblock3.tree	58
astral_chr4block14.tree	astral_chrZblock3.tree	44
astral_chr4block15.tree	astral_chrZblock3.tree	44
astral_chr4block2.tree	astral_chrZblock3.tree	62
astral_chr4block3.tree	astral_chrZblock3.tree	68
astral_chr4block4.tree	astral_chrZblock3.tree	46
astral_chr4block5.tree	astral_chrZblock3.tree	54
astral_chr4block6.tree	astral_chrZblock3.tree	38
astral_chr4block7.tree	astral_chrZblock3.tree	60
astral_chr5block1.tree	astral_chrZblock3.tree	44
astral_chr6block1.tree	astral_chrZblock3.tree	44
astral_chr7block1.tree	astral_chrZblock3.tree	52
astral_chr7block2.tree	astral_chrZblock3.tree	42
astral_chrm10block1.tree	astral_chrZblock3.tree	40
astral_chrm10block2.tree	astral_chrZblock3.tree	72
astral_chrm10block3.tree	astral_chrZblock3.tree	50
astral_chrm10block4.tree	astral_chrZblock3.tree	54
astral_chrm10block5.tree	astral_chrZblock3.tree	68
astral_chrm10block6.tree	astral_chrZblock3.tree	52
astral_chrm11block2.tree	astral_chrZblock3.tree	44
astral_chrm11block3.tree	astral_chrZblock3.tree	50
astral_chrm11block4.tree	astral_chrZblock3.tree	50
astral_chrm1block1.tree	astral_chrZblock3.tree	50
astral_chrm2block1.tree	astral_chrZblock3.tree	56
astral_chrm3block1.tree	astral_chrZblock3.tree	44
astral_chrm4block1.tree	astral_chrZblock3.tree	38
astral_chrm5block2.tree	astral_chrZblock3.tree	52
astral_chrm5block4.tree	astral_chrZblock3.tree	46
astral_chrm5block5.tree	astral_chrZblock3.tree	42
astral_chrm6block1.tree	astral_chrZblock3.tree	50
astral_chrm7block2.tree	astral_chrZblock3.tree	42
astral_chrm7block3.tree	astral_chrZblock3.tree	42
astral_chrm8block1.tree	astral_chrZblock3.tree	44
astral_chrm9block5.tree	astral_chrZblock3.tree	44
astral_chrm9block6.tree	astral_chrZblock3.tree	58
astral_chrm9block7.tree	astral_chrZblock3.tree	50
astral_chrZblock1.tree	astral_chrZblock3.tree	42
astral_chrZblock2.tree	astral_chrZblock3.tree	42
astral_chr1block1.tree	astral_chrZblock4.tree	46
astral_chr1block3.tree	astral_chrZblock4.tree	46
astral_chr1block4.tree	astral_chrZblock4.tree	60
astral_chr1block5.tree	astral_chrZblock4.tree	44
astral_chr2block2.tree	astral_chrZblock4.tree	48
astral_chr2block3.tree	astral_chrZblock4.tree	48
astral_chr2block4.tree	astral_chrZblock4.tree	50
astral_chr2block5.tree	astral_chrZblock4.tree	48
astral_chr2block6.tree	astral_chrZblock4.tree	46
astral_chr3block1.tree	astral_chrZblock4.tree	46
astral_chr3block2.tree	astral_chrZblock4.tree	46
astral_chr3block3.tree	astral_chrZblock4.tree	48
astral_chr3block4.tree	astral_chrZblock4.tree	46
astral_chr4block1.tree	astral_chrZblock4.tree	46
astral_chr4block10.tree	astral_chrZblock4.tree	50
astral_chr4block11.tree	astral_chrZblock4.tree	54
astral_chr4block12.tree	astral_chrZblock4.tree	60
astral_chr4block13.tree	astral_chrZblock4.tree	58
astral_chr4block14.tree	astral_chrZblock4.tree	46
astral_chr4block15.tree	astral_chrZblock4.tree	54
astral_chr4block2.tree	astral_chrZblock4.tree	60
astral_chr4block3.tree	astral_chrZblock4.tree	68
astral_chr4block4.tree	astral_chrZblock4.tree	54
astral_chr4block5.tree	astral_chrZblock4.tree	50
astral_chr4block6.tree	astral_chrZblock4.tree	46
astral_chr4block7.tree	astral_chrZblock4.tree	64
astral_chr5block1.tree	astral_chrZblock4.tree	48
astral_chr6block1.tree	astral_chrZblock4.tree	48
astral_chr7block1.tree	astral_chrZblock4.tree	44
astral_chr7block2.tree	astral_chrZblock4.tree	48
astral_chrm10block1.tree	astral_chrZblock4.tree	50
astral_chrm10block2.tree	astral_chrZblock4.tree	66
astral_chrm10block3.tree	astral_chrZblock4.tree	56
astral_chrm10block4.tree	astral_chrZblock4.tree	58
astral_chrm10block5.tree	astral_chrZblock4.tree	56
astral_chrm10block6.tree	astral_chrZblock4.tree	54
astral_chrm11block2.tree	astral_chrZblock4.tree	36
astral_chrm11block3.tree	astral_chrZblock4.tree	50
astral_chrm11block4.tree	astral_chrZblock4.tree	50
astral_chrm1block1.tree	astral_chrZblock4.tree	40
astral_chrm2block1.tree	astral_chrZblock4.tree	46
astral_chrm3block1.tree	astral_chrZblock4.tree	46
astral_chrm4block1.tree	astral_chrZblock4.tree	48
astral_chrm5block2.tree	astral_chrZblock4.tree	38
astral_chrm5block4.tree	astral_chrZblock4.tree	48
astral_chrm5block5.tree	astral_chrZblock4.tree	40
astral_chrm6block1.tree	astral_chrZblock4.tree	46
astral_chrm7block2.tree	astral_chrZblock4.tree	46
astral_chrm7block3.tree	astral_chrZblock4.tree	50
astral_chrm8block1.tree	astral_chrZblock4.tree	44
astral_chrm9block5.tree	astral_chrZblock4.tree	44
astral_chrm9block6.tree	astral_chrZblock4.tree	62
astral_chrm9block7.tree	astral_chrZblock4.tree	42
astral_chrZblock1.tree	astral_chrZblock4.tree	50
astral_chrZblock2.tree	astral_chrZblock4.tree	46
astral_chrZblock3.tree	astral_chrZblock4.tree	54
